ID,purchasingOrg,Identifier,value,IsActive,type,createdAt,createdBy,modifiedAt,modifiedBy
c3d4e5f6-3333-4000-a003-000000000004,SW37,GRDelay,2,true,OrgSpecificConstant,2026-08-04T07:00:00Z,admin,2026-08-04T07:00:00Z,admin
c3d4e5f6-3333-4000-a003-000000000005,SW37,GoodsMovementType,102,false,OrgSpecificConstant,2026-08-04T07:00:00Z,admin,2026-08-04T07:00:00Z,admin
c3d4e5f6-3333-4000-a003-000000000006,SW37,GLAccountForAsset,8900000,true,OrgSpecificConstant,2026-08-04T07:00:00Z,admin,2026-08-04T07:00:00Z,admin
d4e5f6a7-4444-4000-a004-000000000001,CA00,LocalCurrency,CAD,true,OrgSpecificConstant,2026-08-05T06:00:00Z,admin,2026-08-05T06:00:00Z,admin
d4e5f6a7-4444-4000-a004-000000000002,CA00,PurchaseOrderType,YIND,true,OrgSpecificConstant,2026-08-05T06:00:00Z,admin,2026-08-05T06:00:00Z,admin
d4e5f6a7-4444-4000-a004-000000000003,CA00,ConfirmationControlKey,Y005,true,OrgSpecificConstant,2026-08-05T06:00:00Z,admin,2026-08-05T06:00:00Z,admin
d4e5f6a7-4444-4000-a004-000000000004,CA00,GRDelay,4,true,OrgSpecificConstant,2026-08-05T06:00:00Z,admin,2026-08-05T06:00:00Z,admin
d4e5f6a7-4444-4000-a004-000000000005,CA00,GoodsMovementType,101,true,OrgSpecificConstant,2026-08-05T06:00:00Z,admin,2026-08-05T06:00:00Z,admin
d4e5f6a7-4444-4000-a004-000000000006,CA00,GLAccountForAsset,8800000,true,OrgSpecificConstant,2026-08-05T06:00:00Z,admin,2026-08-05T06:00:00Z,admin
e5f6a7b8-5555-4000-a005-000000000001,0003,LocalCurrency,CHF,true,OrgSpecificConstant,2026-08-06T05:00:00Z,admin,2026-08-06T05:00:00Z,admin
e5f6a7b8-5555-4000-a005-000000000002,0003,PurchaseOrderType,YDNB,true,OrgSpecificConstant,2026-08-06T05:00:00Z,admin,2026-08-06T05:00:00Z,admin
e5f6a7b8-5555-4000-a005-000000000003,0003,ConfirmationControlKey,Y003,true,OrgSpecificConstant,2026-08-06T05:00:00Z,admin,2026-08-06T05:00:00Z,admin
e5f6a7b8-5555-4000-a005-000000000004,0003,GRDelay,1,true,OrgSpecificConstant,2026-08-06T05:00:00Z,admin,2026-08-06T05:00:00Z,admin
e5f6a7b8-5555-4000-a005-000000000005,0003,GoodsMovementType,103,false,OrgSpecificConstant,2026-08-06T05:00:00Z,admin,2026-08-06T05:00:00Z,admin
e5f6a7b8-5555-4000-a005-000000000006,0003,GLAccountForAsset,8900000,true,OrgSpecificConstant,2026-08-06T05:00:00Z,admin,2026-08-06T05:00:00Z,admin
