ID,CompanyCode,PurchasingOrg,Plant,IsActive,createdAt,createdBy,modifiedAt,modifiedBy
e3d32ef5-cd4b-4244-aab0-b4e21c96d654,3371,CE00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
72d2c1d8-99f7-4e0b-9f63-b4d885e1f10e,3372,CF00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
b033946d-3e89-4108-9792-e384692ca22b,3373,CG00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
abdcdd5f-aede-4c43-ad14-b414a652949c,3384,CH00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
34c83adb-63a1-4a6c-9aa2-6753bffe2002,3386,CJ00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
4398186d-4785-4982-a5d7-085f1686d1c2,3374,CK00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
c3cc90e3-17db-4630-9517-4bbd91dcf7e3,3375,CL00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
689dd7eb-c699-4c8c-8628-4c9a91421a8d,3376,CM00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
c7737038-4aa9-4458-9c7e-c79efa4c980e,3377,CN00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
72736b61-cb71-4d83-8574-313da3d17529,3378,CO00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
30c641d9-b4ad-4334-a68c-f6b02e4a49c0,3379,CP00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
a35efdb1-758f-4d68-8b12-62d11921bae4,3380,CQ00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
50d067e2-667c-4336-8212-43d5358d894b,3381,CR00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
7ad503a9-b769-45b9-978d-2f00a87470aa,3382,CS00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
006dbebf-5c5a-42a6-acfc-127c42ed7c70,3368,CT00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
2ad42719-1d3b-424c-845f-0bb2ddcfc280,3396,D200,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
2a5ed45f-55b5-4410-9f10-08913c38ae24,3397,D300,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
b8581453-469f-4790-9f2f-499b3b9816d9,3398,D400,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
11a9aa9f-2a6a-4d57-9211-dcbdc3c96594,3399,D500,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
76f5dde0-2887-45a7-9547-a7c91c0a8eec,3400,D600,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
6b6ecb17-0b69-4035-9aaa-09e72aef7c77,,D900,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
a4ed73c2-be4c-4004-bc7a-21b5bd2e175c,3403,DA00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
c74ab95b-c9d6-4352-ba99-c9367d1a2db8,3404,DB00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
2881270a-1326-45ce-831e-0223e19a55a7,3405,DC00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
3bc36863-0738-433a-be4a-696d3ff38408,7431,DD00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
c264c46a-5d1a-4044-93af-a986378507af,3416,DI00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
c2ab3f43-622c-4587-a2e4-537988eb78d8,3414,DL00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
2e7c8a29-8289-41fc-9d3b-a57e437ec8ba,3361,DO00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
87312f4a-5108-4c19-9426-018d693d8e67,300A,DP00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
0b93bde5-8cb3-422d-877f-5226b3bb19ff,300B,DQ00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
e99d2611-2960-43d4-bf8a-9b48b946f829,3010,SW36,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
6108c52d-89cc-466d-afea-65e4ebf8f146,3009,SW37,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
16c2d70f-0829-4f98-9c9f-a5e54cc94d43,3008,SW38,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
304ca8a9-41cd-47f2-9a2e-afa5c85a16ce,3011,SW39,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
